,Mkt-RF,SMB,HML
AAPL,1.1884728943819667,-0.5065555053417876,-0.3108478848200149
ABT,0.8056901144259678,-0.3887270213419236,-0.08282516647387905
BAC,1.2301778860930475,-0.07314165555267804,0.7124790532406853
CVX,0.9753908085891592,0.43514563034141907,1.2162224638564223
GS,1.0946641468549931,0.16283454524347948,0.47649359510939204
INTC,1.1687790481057407,0.22079617218409428,0.16452300445289758
JNJ,0.352007831560888,-0.5874292432882632,-0.01884800933294692
JPM,1.0934879719661388,-0.06973714101380979,0.5884735592451331
KO,0.5772141580201549,-0.4958097660839587,0.1338918856402606
MCD,0.5453328555464934,-0.5081781302762631,0.04763740615280837
MSFT,1.118935964768867,-0.8306790193028867,-0.5390829984912894
PFE,0.5832371303832921,-0.7770883514431381,0.01017080423855421
PG,0.496504487201304,-0.604810194107823,-0.05061278120934076
WMT,0.4588165421641621,-0.4708097279764821,-0.04871391829320826
XOM,0.9958580446843763,0.37102781263244494,1.2868151201254605
