,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
AAPL,1.0,0.3479356026597311,0.3739941677297607,0.37980327787267254,0.44201980063948126,0.4952547374294508,0.3403239237176257,0.41315460365175855,0.348055373910052,0.38278642684055636,0.5339305765675165,0.32401233175366567,0.3468764277757214,0.3130495095860795,0.3601332668025952
ABT,0.3479356026597311,1.0,0.345414533248131,0.3760209179874524,0.3826094755776089,0.4223922926149876,0.5687133816888693,0.3869139815714861,0.44884217520086817,0.41491116264224703,0.4634871046270747,0.48497891617835154,0.47156160462218827,0.3772371726829075,0.3559403537335854
BAC,0.3739941677297607,0.345414533248131,1.0,0.4812231174310634,0.7136651697007368,0.4345498857599373,0.36672234734748355,0.831142364962377,0.35348277118928667,0.3746737061243501,0.42364266959928604,0.4081198271215104,0.3583060717568209,0.28059457240859426,0.45206556960938227
CVX,0.37980327787267254,0.3760209179874524,0.4812231174310634,1.0,0.538615593668928,0.4620819577773305,0.46057083789251896,0.5212359980565605,0.46767468973935594,0.45547983051366253,0.46401253018746724,0.4236951126955012,0.40265942195212195,0.3034728500420956,0.8591649674001047
GS,0.44201980063948126,0.3826094755776089,0.7136651697007368,0.538615593668928,1.0,0.4820695995310046,0.4115955078748682,0.7661417382276726,0.40686567512876365,0.41303257684105404,0.4942885760461272,0.4148220311825095,0.381471104265045,0.32797154831101033,0.5081024965377252
INTC,0.4952547374294508,0.4223922926149876,0.4345498857599373,0.4620819577773305,0.4820695995310046,1.0,0.41263426964673927,0.48350903461704214,0.4249080805491116,0.4063904596290664,0.6045586995673489,0.4075317963457249,0.4077141731604299,0.35385995100027795,0.45837997193264485
JNJ,0.3403239237176257,0.5687133816888693,0.36672234734748355,0.46057083789251896,0.4115955078748682,0.41263426964673927,1.0,0.40823921302635513,0.5441519967385312,0.4376638442407412,0.4620940406550771,0.5684618311106098,0.5842034219800084,0.4361157769602944,0.45275420446828346
JPM,0.41315460365175855,0.3869139815714861,0.831142364962377,0.5212359980565605,0.7661417382276726,0.48350903461704214,0.40823921302635513,1.0,0.42106805155234983,0.43566109911512624,0.46755106404629676,0.4379694584139462,0.41055568111435853,0.32724916408679333,0.49447621329248215
KO,0.348055373910052,0.44884217520086817,0.35348277118928667,0.46767468973935594,0.40686567512876365,0.4249080805491116,0.5441519967385312,0.42106805155234983,1.0,0.4920856107935443,0.46409742857900665,0.45275014351267534,0.5904115015846827,0.4025414857053778,0.467768524829577
MCD,0.38278642684055636,0.41491116264224703,0.3746737061243501,0.45547983051366253,0.41303257684105404,0.4063904596290664,0.4376638442407412,0.43566109911512624,0.4920856107935443,1.0,0.4570220863678837,0.37684697058829325,0.4664378643188018,0.37878956789171997,0.4235424824490522
MSFT,0.5339305765675165,0.4634871046270747,0.42364266959928604,0.46401253018746724,0.4942885760461272,0.6045586995673489,0.4620940406550771,0.46755106404629676,0.46409742857900665,0.4570220863678837,1.0,0.41304626093058366,0.45774474266355275,0.37957324275337184,0.44108419436488866
PFE,0.32401233175366567,0.48497891617835154,0.4081198271215104,0.4236951126955012,0.4148220311825095,0.4075317963457249,0.5684618311106098,0.4379694584139462,0.45275014351267534,0.37684697058829325,0.41304626093058366,1.0,0.4637413466751385,0.37316196107308564,0.42553782107945537
PG,0.3468764277757214,0.47156160462218827,0.3583060717568209,0.40265942195212195,0.381471104265045,0.4077141731604299,0.5842034219800084,0.41055568111435853,0.5904115015846827,0.4664378643188018,0.45774474266355275,0.4637413466751385,1.0,0.47568677791604985,0.4166874569802986
WMT,0.3130495095860795,0.3772371726829075,0.28059457240859426,0.3034728500420956,0.32797154831101033,0.35385995100027795,0.4361157769602944,0.32724916408679333,0.4025414857053778,0.37878956789171997,0.37957324275337184,0.37316196107308564,0.47568677791604985,1.0,0.3194664189963817
XOM,0.3601332668025952,0.3559403537335854,0.45206556960938227,0.8591649674001047,0.5081024965377252,0.45837997193264485,0.45275420446828346,0.49447621329248215,0.467768524829577,0.4235424824490522,0.44108419436488866,0.42553782107945537,0.4166874569802986,0.3194664189963817,1.0
