ticker,weight,MRC,CRC,CRC_pct
AAPL,0.06666666666666667,0.013188726302295638,0.0008792484201530425,7.295546473217142
ABT,0.06666666666666667,0.00867783186306902,0.0005785221242046013,4.80027594725086
BAC,0.06666666666666667,0.023038749800078234,0.0015359166533385489,12.744238222764299
CVX,0.06666666666666667,0.013534705754216607,0.0009023137169477738,7.486930319724616
GS,0.06666666666666667,0.017712228721906628,0.0011808152481271085,9.797791297134514
INTC,0.06666666666666667,0.01386776569157672,0.0009245177127717813,7.671167538367523
JNJ,0.06666666666666667,0.007239720889066121,0.0004826480592710747,4.004762779110014
JPM,0.06666666666666667,0.018994312971905573,0.0012662875314603714,10.506995887028761
KO,0.06666666666666667,0.007698981119059462,0.0005132654079372974,4.258809627487905
MCD,0.06666666666666667,0.008213422290026239,0.0005475614860017493,4.543380660694584
MSFT,0.06666666666666667,0.012510648824465466,0.0008340432549643643,6.9204575041564365
PFE,0.06666666666666667,0.009449458055894183,0.0006299638703929455,5.227112824495612
PG,0.06666666666666667,0.007483604062891429,0.0004989069375260952,4.13967050165245
WMT,0.06666666666666667,0.0069646987907559235,0.0004643132527170616,3.8526300823359136
XOM,0.06666666666666667,0.012202915911533628,0.0008135277274355752,6.750230317984415
