,tangency,min_variance,equal_weight
AAPL,0.5316561991254786,5.278646339181533e-19,0.06666666666666667
ABT,0.03898393895618847,0.05391393807461484,0.06666666666666667
BAC,0.0,0.0,0.06666666666666667
CVX,0.0,0.0,0.06666666666666667
GS,0.0,0.0,0.06666666666666667
INTC,0.0,2.610088909609063e-18,0.06666666666666667
JNJ,0.0,0.2240848208229048,0.06666666666666667
JPM,0.0,0.0,0.06666666666666667
KO,2.1196152472091612e-17,0.1781895741485614,0.06666666666666667
MCD,0.4293598619183329,0.1624260902502259,0.06666666666666667
MSFT,0.0,0.0,0.06666666666666667
PFE,0.0,0.012839933918755694,0.06666666666666667
PG,0.0,0.16834120903996583,0.06666666666666667
WMT,0.0,0.2002044337449716,0.06666666666666667
XOM,0.0,0.0,0.06666666666666667
